term	paraphrase
maladie de Chagas	infection parasitaire à Trypanosoma cruzi
corticoïde	méthotrexate , mycophénolate mofétil , cyclophosphamide
polypathologie	plus d'une pathologie chronique
symptôme non spécifique	hypotension orthostatique , troubles digestifs , troubles neuropsychiques
crise généralisée	tonicoclonique , atonique , voire à type d'absence , ou purement myoclonique
infection	syndrome inflammatoire , fièvre , troubles de la vigilance , céphalée
trouble cognitif	désorientation temporospatiale , trouble mnésique
infection bactérienne	maladie de Lyme , syphilis , tuberculose
SAPL avéré	présence de lésions ischémiques des noyaux gris centraux
trouble digestif	diarrhée ou fécalome
forme de neurolupus	atteintes psychiatriques , troubles cognitifs , autres atteintes neurologiques centrales , voire même périphériques
trouble du transit	constipation ou diarrhée
médicament	inhibiteur de l'enzyme de conversion , losartan , pyrazinamide
trouble digestif	douleur abdominale , nausée , vomissement
liquides de l'organisme	humeur aqueuse , sang , liquide céphalorachidien
bouffées de chaleur , érythermalgie	trouble vasomoteurs ou de la thermorégulation
Trouble mictionnel	incontinence or rétention urinaire
trouble de la sudation	hypo/anhidrose , hyperhidrose
trouble de la sensibilité thermo-algique et/ou allodynie et/ou hyperalgie	signes cliniques d'atteinte des petites fibre
signe dysautonomique prédominant	dyshidrose , dysfonction érectile , dysurie , troubles fonctionnels intestinaux , hypotension orthostatique , anomalies pupillaires
hémopathie lymphoïde	leucémie lymphoïde chronique , lymphome
maladie des chaînes légères	maladie de Randall
lymphome peu différencié	Burkitt
Maladie neurologique	sclérose en plaques
trouble hydro-électrolytique	hypocalcémie ou hypokaliémie
spécialité médicale	gériatrie , rétrocession , pneumologie , hématologie , médecine pénitentiaire , chirurgie , soins de suite et réadaptation , gastro-entérologie , oncologie médicale , rhumatologie , médecine interne , UHCD , ORL , cardiologie , soins palliatifs , maladies infectieuses , réanimation chirurgicale , curiethérapie , oncologie chirurgicale
anomalie biologique	syndrome inflammatoire , troubles de l' absorption
co-infection sévère	six infection respiratoires , deux encéphalites et une septicémie à Staphylococcus epidermidi
étiologie infectieuse	virale , bactérienne , fongique , parasitaire
coxite	Les formes chroniques exceptionnellement destructrices
entéropathie évolutive	maladie de Crohn , rectocolite hémorragique
infliximab	Rémicade®
traitement de la maladie digestive	corticoïdes , azathioprine , méthotrexate
maladie de Horton et artérite de Takayasu	vascularites gigantocellulaires des gros troncs
asthme	une affection respiratoire chronique
autoAc anti-GAD	glutamic acide décarboxylase
appareillage	pacemaker
immunodépression	sida , maladie systémique , traitements immunosuppresseurs
épidurite , trouble rachidien statique	lésions susceptibles de provoquer des complications neurologiques
imagerie radiographies comparatives des hanches de face	consiste cliché de bassin
symptôme moteur parkinsonien	y compris le tremblement de repos à une fréquence de 4 à 6 Hz
bradykinésie	ralentissement des mouvements
trouble moteur	fluctuations motrices , dyskinésies
système nigro-strié	locus ceruleus , noyau de Meynert , et cortex cérébral
électrophysiologie	enregistrement et stimulation par microélectrodes
gènes liés notamment à la synthèse	eef1?2 , eif5 , uba56 , nudt6-gfg , protéines ribosomales P34 , S2 , S9 , L8 , L8a , L13a , L14 , L32 , ubiquitine-L40
résidu polaire hautement conservé	asparagine , acide glutamique et glutamine
signe d' atteintes corticale	crise d' épilepsie , troubles des fonctions supérieures , aphasie , hémianopsie latérale homonyme , apraxie
atteinte du système nerveux central	possible déficience mentale , troubles du sommeil
atteinte pulmonaire	insuffisance respiratoire restrictive , hypoxémie , hypercapnie
complication cardiaque	arythmie ou troubles de la conduction
sécrétion de lipopolysaccharide	y compris LPS
ALD	affection de longue durée
intervenants paramédicaux	kinésithérapeutes , ergothérapeutes , orthophonistes , podologues
gêne	boiterie , maladresse d' un membre supérieur , troubles de l' attention ou de la mémoire , troubles urinaires , visuels , de l' élocution
Aides mécanique	cannes , béquilles , déambulateur
hémogramme	hématocrite pour rechercher une complication
cryptorchidisme	non descente des testicules dans le scrotum
syndrome métabolique	défauts des métabolismes glucidique et lipidique , obésité abdominale , dyslipidémie et hypertension , risques d' obésité , de diabète de type 2 et de maladie cardiovasculaire
